Name/Address,County,Latitude,Longitude,Mode
State St @ 1100 N (NB),Utah,812013,40.31716500,Bus
State St / 2000 N (SB),Utah,812027,40.33329800,Bus
1200 W / 700 S (NB),Utah,830243,40.28449700,Bus
1200 W @ 1586 N,Utah,812048,40.32601900,Bus
Main St / 1600 N (SB),Utah,816014,40.25555900,Bus
UVU Station (Adjacent bus stop EB),Utah,816038,40.27554300,Bus
State St @ 400 S. (NB),Utah,816054,40.29018600,Bus
State Hwy @ 1095 N,Utah,826002,40.12365400,Bus
100 N @ 890 E,Utah,829017,40.04439400,Bus
100 N @ 985 E,Utah,829025,40.04465700,Bus
100 N @ 395 E,Utah,829029,40.04460100,Bus
100 N @ 185 E,Utah,829030,40.04462900,Bus
State Rd @ 1076 N,Utah,830003,40.07089600,Bus
1600 N @ 277 W,Utah,812195,40.32650700,Bus
Main St  @ 60 S,Utah,830060,40.10901500,Bus
Redwood Rd @ 1418 N,Utah,830122,40.38807600,Bus
Harvest Hills Blvd @ 224,Utah,830148,40.39866300,Bus
Hwy 198  @ 38 N,Utah,830158,40.05716000,Bus
Center St @ 2915 W,Utah,830200,40.23379400,Bus
University Ave / 4200 N (SB),Utah,830201,40.28870400,Bus
University Ave / 4200 N (NB),Utah,830202,40.28930400,Bus
University Ave / 2680 N (SB),Utah,830232,40.26841000,Bus
BYU South Campus Station,Utah,830271,40.24591600,Bus
University Place Station (WB),Utah,830289,40.27360400,Bus
900 E / 300 S (SB),Utah,820054,40.23024100,Bus
400 E @ 212 S,Utah,823105,40.16361600,Bus
800 E @ 595 N,Utah,825022,40.11721400,Bus
Main St @ 480 S,Utah,825106,40.10275900,Bus
State St / 500 W (WB),Utah,830227,40.40416700,Bus
State St / 950 E (WB),Utah,830228,40.39152100,Bus
State St / 950 E (EB),Utah,830229,40.39155300,Bus
500 W 180 N,Utah,830230,40.23605800,Bus
University Ave / 2680 N (NB),Utah,830231,40.26827800,Bus
300 S / 200 E (WB),Utah,830249,40.22977900,Bus
UVU McKay Education Building (WB),Utah,830257,40.28271600,Bus
UVU Testing Services (WB),Utah,830258,40.28264800,Bus
2230 North Station,Utah,830266,40.26267200,Bus
BYU Stadium Station,Utah,830267,40.25558800,Bus
BYU Stadium Station,Utah,830268,40.25585900,Bus
BYU North Campus Station,Utah,830269,40.25654800,Bus
Provo Central Station (Bay H),Utah,830274,40.22524300,Bus
400 South Station,Utah,830276,40.22861500,Bus
Academy Square Station,Utah,830277,40.24150500,Bus
1200 W @ 707 N,Utah,812057,40.30932500,Bus
2100 W / 1730 N (SB),Utah,816013,40.25715600,Bus
1430 S / 400 W (WB),Utah,816128,40.27152400,Bus
Freedom Blvd / 1550 N (NB),Utah,817070,40.25476100,Bus
800 S @ 1199 W,Utah,828003,40.03122500,Bus
100 N @ 30 W,Utah,829031,40.04464300,Bus
Grandview Ln / State St (WB),Utah,830131,40.25625200,Bus
700 N / 200 E (EB),Utah,830211,40.24292600,Bus
Lakeview Station,Utah,830263,40.27357900,Bus
BYU North Campus Station,Utah,830270,40.25677600,Bus
Joaquin Station,Utah,830272,40.24301800,Bus
300 North Station,Utah,830278,40.23745200,Bus
Towne Centre Blvd Station,Utah,830279,40.21685000,Bus
State St / 1800 N (SB),Utah,812028,40.33032900,Bus
State St / 1400 N (SB),Utah,812031,40.32235900,Bus
State St / 1200 N (SB),Utah,812032,40.31900100,Bus
State St / 1000 N (SB),Utah,812033,40.31571700,Bus
1600 N @ 526 W,Utah,812050,40.32661600,Bus
1600 N @ 832 W,Utah,812051,40.32652200,Bus
1600 N @ 445 W,Utah,812052,40.32642900,Bus
State St @ 400 N (NB),Utah,812056,40.30516500,Bus
1600 N @ 755 W,Utah,812193,40.32637200,Bus
800 E @ 32 S,Utah,813015,40.29627700,Bus
800 E @ 220 S,Utah,813017,40.29305800,Bus
800 E @ 442 S,Utah,813020,40.28884600,Bus
River Park Dr / Edgewood Dr (WB),Utah,813024,40.30313300,Bus
1200 N @ 761 E,Utah,813032,40.31939400,Bus
Timpanogos Pkwy @ 655 E,Utah,813047,40.32325300,Bus
Research Way @ 1224 N,Utah,813048,40.31965900,Bus
300 S / 600 E (EB),Utah,830248,40.22957700,Bus
State St / 500 N (SB),Utah,812039,40.30578600,Bus
State St / 400 N (SB),Utah,812040,40.30369400,Bus
State St / 100 N (SB),Utah,812043,40.29913300,Bus
State St / Orem Center St (SB),Utah,812044,40.29665500,Bus
Main St / 1450 S (SB),Utah,816009,40.27056800,Bus
Main St / 1600 S (SB),Utah,816010,40.26739100,Bus
1460 N / Grand Ave (WB),Utah,816020,40.25351300,Bus
Main St / 1600 S (NB),Utah,816027,40.26827200,Bus
Main St / 1450 S (NB),Utah,816028,40.27052900,Bus
Main St / 1400 S (NB),Utah,816029,40.27218700,Bus
1200 W / 400 S (NB),Utah,816043,40.28891100,Bus
1200 W / 540 S (NB),Utah,816046,40.28736300,Bus
1600 N @ 525 W,Utah,812194,40.32641300,Bus
1600 N @ 97 W,Utah,812196,40.32653200,Bus
1200 N @ 762 E,Utah,812199,40.31921200,Bus
Timpanogos Pkwy @ 680 E,Utah,813059,40.32292700,Bus
Research Way @ 1243 N,Utah,813060,40.31992000,Bus
Main St / University Pkwy (SB),Utah,816008,40.27287700,Bus
1720 N / 550 W (EB),Utah,817037,40.25691100,Bus
900 E / 450 N (SB),Utah,817057,40.23976800,Bus
1460 N / Grand Ave (EB),Utah,816015,40.25338500,Bus
2100 W / 1730 N (NB),Utah,816022,40.25658800,Bus
1200 W / 700 S (SB),Utah,816049,40.28405700,Bus
State St @ 600 S (NB),Utah,816052,40.28649500,Bus
State St / 400 S (SB),Utah,816057,40.28937000,Bus
State St / 600 S (SB),Utah,816058,40.28610600,Bus
UVU Gunther Building (SB),Utah,816093,40.27805200,Bus
University Pkwy / Main St (WB),Utah,816111,40.27373100,Bus
1430 S / 400 W (EB),Utah,816134,40.27154100,Bus
State St @ 200 S (NB),Utah,816140,40.29376900,Bus
1460 N / 1500 W (EB),Utah,817003,40.25340400,Bus
800 E @ 385 S,Utah,817004,40.28992100,Bus
University Pkwy @ 2266 N,Utah,817088,40.26367700,Bus
800 E / 800 S (SB),Utah,817095,40.28119800,Bus
800 E / 1000 S (SB),Utah,817097,40.27819000,Bus
550 W / 1800 N (NB),Utah,817105,40.25898500,Bus
800 E @ 621 S,Utah,817140,40.28544400,Bus
State St / 1700 S (SB),Utah,817243,40.26543800,Bus
State St / 1800 S (SB),Utah,817244,40.26344800,Bus
State St / 1950 N (SB),Utah,817245,40.26097400,Bus
State St / 1850 N (SB),Utah,817246,40.25849200,Bus
State St / Grandview Ln (SB),Utah,817247,40.25592300,Bus
State St / Riverside Ave (SB),Utah,817248,40.25316400,Bus
500 W / Cougar Blvd (SB),Utah,817249,40.24982500,Bus
500 W / 1050 N (SB),Utah,817250,40.24809600,Bus
State St @ 1697 S,Utah,817265,40.26631800,Bus
1460 N / 1500 W (WB),Utah,817031,40.25352100,Bus
900 E / 450 N (NB),Utah,817058,40.24018200,Bus
Freedom Blvd / 1550 N (SB),Utah,817071,40.25488400,Bus
Freedom Blvd / Paul Ream Ave (SB),Utah,817072,40.25267100,Bus
University Ave / 450 S (NB),Utah,820081,40.22768400,Bus
University Ave / 300 S (NB),Utah,820082,40.23018700,Bus
University Ave / 100 S (NB),Utah,820083,40.23277000,Bus
400 E @ 245 N,Utah,823080,40.17005400,Bus
500 W @ 852 N,Utah,817256,40.24506400,Bus
500 W @ 1078 N,Utah,817258,40.24863700,Bus
State St @ Cougar Blvd (NB),Utah,817259,40.25111100,Bus
State St. @ Riverside Ave.,Utah,817260,40.25397200,Bus
