Name/Address,Latitude,Longitude
Harvest Hills Blvd @ 224,40.39866300,-111.92627400
Hwy 198  @ 38 N,40.05716000,-111.67289500
Center St @ 2915 W,40.23379400,-111.70952300
University Ave / 4200 N (SB),40.28870400,-111.65868200
University Ave / 4200 N (NB),40.28930400,-111.65832400
University Ave / 2680 N (SB),40.26841000,-111.65737600
BYU South Campus Station,40.24591600,-111.64610200
University Place Station (WB),40.27360400,-111.68042700
900 E / 300 S (SB),40.23024100,-111.64284200
400 E @ 212 S,40.16361600,-111.60346700
800 E @ 595 N,40.11721400,-111.64073100
Main St @ 480 S,40.10275900,-111.65538000
State St / 500 W (WB),40.40416700,-111.85746300
State St / 950 E (WB),40.39152100,-111.83342300
State St / 950 E (EB),40.39155300,-111.83407600
500 W 180 N,40.23605800,-111.66731400
University Ave / 2680 N (NB),40.26827800,-111.65714500
300 S / 200 E (WB),40.22977900,-111.65550100
UVU McKay Education Building (WB),40.28271600,-111.71801700
UVU Testing Services (WB),40.28264800,-111.72244000
2230 North Station,40.26267200,-111.66702300
BYU Stadium Station,40.25558800,-111.65207500
BYU Stadium Station,40.25585900,-111.65205300
BYU North Campus Station,40.25654800,-111.64625800
Provo Central Station (Bay H),40.22524300,-111.66178200
400 South Station,40.22861500,-111.65870900
Academy Square Station,40.24150500,-111.65866000
1200 W @ 707 N,40.30932500,-111.72450500
2100 W / 1730 N (SB),40.25715600,-111.69488400
1430 S / 400 W (WB),40.27152400,-111.70561300
Freedom Blvd / 1550 N (NB),40.25476100,-111.66182300
800 S @ 1199 W,40.03122500,-111.75288400
100 N @ 30 W,40.04464300,-111.73279700
Grandview Ln / State St (WB),40.25625200,-111.67289500
700 N / 200 E (EB),40.24292600,-111.65477600
Lakeview Station,40.27357900,-111.70396000
BYU North Campus Station,40.25677600,-111.64621100
Joaquin Station,40.24301800,-111.65131300
300 North Station,40.23745200,-111.65869000
Towne Centre Blvd Station,40.21685000,-111.66097000
State St / 1800 N (SB),40.33032900,-111.71100600
State St / 1400 N (SB),40.32235900,-111.70627900
State St / 1200 N (SB),40.31900100,-111.70481700
State St / 1000 N (SB),40.31571700,-111.70334400
1600 N @ 526 W,40.32661600,-111.70916800
1600 N @ 832 W,40.32652200,-111.71584400
1600 N @ 445 W,40.32642900,-111.70690100
State St @ 400 N (NB),40.30516500,-111.69843200
1600 N @ 755 W,40.32637200,-111.71411600
800 E @ 32 S,40.29627700,-111.67655100
800 E @ 220 S,40.29305800,-111.67645300
800 E @ 442 S,40.28884600,-111.67638100
River Park Dr / Edgewood Dr (WB),40.30313300,-111.65844800
1200 N @ 761 E,40.31939400,-111.67752700
Timpanogos Pkwy @ 655 E,40.32325300,-111.68068100
Research Way @ 1224 N,40.31965900,-111.68074100
300 S / 600 E (EB),40.22957700,-111.64798500
State St / 500 N (SB),40.30578600,-111.69901500
State St / 400 N (SB),40.30369400,-111.69813900
State St / 100 N (SB),40.29913300,-111.69612500
State St / Orem Center St (SB),40.29665500,-111.69507000
Main St / 1450 S (SB),40.27056800,-111.69517900
Main St / 1600 S (SB),40.26739100,-111.69511100
1460 N / Grand Ave (WB),40.25351300,-111.69426500
Main St / 1600 S (NB),40.26827200,-111.69495100
Main St / 1450 S (NB),40.27052900,-111.69500200
Main St / 1400 S (NB),40.27218700,-111.69499900
1200 W / 400 S (NB),40.28891100,-111.72412200
1200 W / 540 S (NB),40.28736300,-111.72405400
1600 N @ 525 W,40.32641300,-111.70989600
1600 N @ 97 W,40.32653200,-111.69855900
1200 N @ 762 E,40.31921200,-111.67747100
Timpanogos Pkwy @ 680 E,40.32292700,-111.68051900
Research Way @ 1243 N,40.31992000,-111.68097500
Main St / University Pkwy (SB),40.27287700,-111.69525600
