X,Y,fid_,stopabbr,stopname,city,county,stopabbr_j,uta_stopid,latitude,longitude,avgboard,avgalight,route,mode,zipcode,avgboard2,avgalight2
-111.865433,40.7464800000001,"1166","126197",900 E / Herbert Ave (SB),Salt Lake City,Salt Lake,"126197","126197",40.74648000,-111.86543300,"0","0","209",Bus,"84105",0.00000000,0.26000000
-111.848026,40.740124,"1218","126276",1500 E @ 1378 S,Salt Lake City,Salt Lake,"126276","126276",40.74012400,-111.84802600,"0","2","17",Bus,"84105",0.07000000,1.78000000
-111.938837,40.727137,"1033","125170",Redwood Rd / 2100 S (NB),Salt Lake City,Salt Lake,"125170","125170",40.72713700,-111.93883700,"10","24","217, 509",Bus,"84104",10.13000000,23.97000000
-111.938807,40.737578,"1037","125175",Redwood Rd @ 1515 S,Salt Lake City,Salt Lake,"125175","125175",40.73757800,-111.93880700,"4","5","217",Bus,"84104",3.64000000,5.27000000
-111.938892,40.755902,"1041","125182",Redwood Rd @ 625 S,Salt Lake City,Salt Lake,"125182","125182",40.75590200,-111.93889200,"7","8","217",Bus,"84104",7.27000000,7.64000000
-111.939208,40.741767,"1049","125194",Redwood Rd @ 1298 S,Salt Lake City,Salt Lake,"125194","125194",40.74176700,-111.93920800,"26","18","217",Bus,"84104",25.72000000,18.44000000
-111.939237,40.737463,"1050","125195",Redwood Rd @ 1506 S,Salt Lake City,Salt Lake,"125195","125195",40.73746300,-111.93923700,"8","6","217",Bus,"84104",7.79000000,6.32000000
-111.939233,40.7354580000001,"1051","125196",Redwood Rd @ 1560 S,Salt Lake City,Salt Lake,"125196","125196",40.73545800,-111.93923300,"1","4","217",Bus,"84104",1.04000000,3.69000000
-111.939217,40.7325500000001,"1052","125197",Redwood Rd / 1700 S (SB),Salt Lake City,Salt Lake,"125197","125197",40.73255000,-111.93921700,"58","34","217, 509",Bus,"84104",58.20000000,33.97000000
-111.939219,40.730127,"1053","125198",Redwood Rd / 1800 S (SB),Salt Lake City,Salt Lake,"125198","125198",40.73012700,-111.93921900,"7","5","217, 509",Bus,"84104",7.27000000,4.74000000
-111.939218,40.728331,"1054","125199",Redwood Rd @ 1916 S,Salt Lake City,Salt Lake,"125199","125199",40.72833100,-111.93921800,"21","9","217",Bus,"84104",20.79000000,8.95000000
-111.939134,40.7200730000001,"1055","125200",Redwood Rd @ 2344 S,West Valley City,Salt Lake,"125200","125200",40.72007300,-111.93913400,"13","6","217",Bus,"84119",13.25000000,5.53000000
-111.899573,40.725871,"1057","125207",300 W / 2100 S (NB),Salt Lake City,Salt Lake,"125207","125207",40.72587100,-111.89957300,"2","2","17",Bus,"84107",1.99000000,1.57000000
-111.865278,40.7358770000001,"1182","126220",900 E / Bryan Ave (NB),Salt Lake City,Salt Lake,"126220","126220",40.73587700,-111.86527800,"4","2","209",Bus,"84105",4.42000000,2.37000000
-111.87688,40.7308160000001,"1156","126142",500 E / Downington Ave (SB),Salt Lake City,Salt Lake,"126142","126142",40.73081600,-111.87688000,"3","3","205",Bus,"84105",2.60000000,3.42000000
-111.847933,40.737059,"1223","126289",1500 E @ 1505 S,Salt Lake City,Salt Lake,"126289","126289",40.73705900,-111.84793300,"2","1","17",Bus,"84105",1.99000000,0.93000000
-111.84792,40.7386660000001,"1224","126290",1500 E @ 1429 S,Salt Lake City,Salt Lake,"126290","126290",40.73866600,-111.84792000,"6","0","17",Bus,"84105",5.97000000,0.43000000
